INFO 2025-09-21 21:38:51,319 autoreload Watching for file changes with StatReloader
DEBUG 2025-09-21 21:38:51,322 autoreload Waiting for apps ready_event.
DEBUG 2025-09-21 21:38:54,937 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-09-21 21:38:55,027 autoreload Watching dir /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/drf_yasg/templates with glob **/*.
DEBUG 2025-09-21 21:38:55,028 autoreload Watching dir /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/templates with glob **/*.
DEBUG 2025-09-21 21:38:55,029 autoreload Watching dir /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
DEBUG 2025-09-21 21:38:55,030 autoreload Watching dir /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/locale with glob **/*.mo.
DEBUG 2025-09-21 21:38:55,031 autoreload Watching dir /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2025-09-21 21:38:55,033 autoreload Watching dir /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2025-09-21 21:38:55,034 autoreload Watching dir /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/drf_yasg/locale with glob **/*.mo.
DEBUG 2025-09-21 21:38:55,035 autoreload Watching dir /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/users/locale with glob **/*.mo.
DEBUG 2025-09-21 21:38:55,037 autoreload Watching dir /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/movies/locale with glob **/*.mo.
DEBUG 2025-09-21 21:39:04,408 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/core/wsgi.py first seen with mtime 1758312764.7070105
DEBUG 2025-09-21 21:39:04,409 autoreload File /usr/lib/python3.10/multiprocessing/reduction.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,412 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/rest_framework/negotiation.py first seen with mtime 1758312896.7006621
DEBUG 2025-09-21 21:39:04,414 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/shortcuts.py first seen with mtime 1758312624.288518
DEBUG 2025-09-21 21:39:04,420 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/contrib/auth/forms.py first seen with mtime 1758312672.9546714
DEBUG 2025-09-21 21:39:04,422 autoreload File /usr/lib/python3.10/lib-dynload/_zoneinfo.cpython-310-x86_64-linux-gnu.so first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,429 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/contrib/auth/password_validation.py first seen with mtime 1758312673.158466
DEBUG 2025-09-21 21:39:04,435 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/idna/package_data.py first seen with mtime 1758480574.287211
DEBUG 2025-09-21 21:39:04,439 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/yaml/scanner.py first seen with mtime 1758315261.4018624
DEBUG 2025-09-21 21:39:04,441 autoreload File /usr/lib/python3.10/asyncio/base_futures.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,448 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/utils/cache.py first seen with mtime 1758312777.1098077
DEBUG 2025-09-21 21:39:04,449 autoreload File /usr/lib/python3.10/ast.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,456 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/core/files/storage/memory.py first seen with mtime 1758312765.9652536
DEBUG 2025-09-21 21:39:04,462 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/forms/forms.py first seen with mtime 1758312771.1845784
DEBUG 2025-09-21 21:39:04,463 autoreload File /usr/lib/python3.10/genericpath.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,467 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/utils/inspect.py first seen with mtime 1758312777.6994455
DEBUG 2025-09-21 21:39:04,474 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/db/models/__init__.py first seen with mtime 1758312769.9073384
DEBUG 2025-09-21 21:39:04,479 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/idna/intranges.py first seen with mtime 1758480574.2699084
DEBUG 2025-09-21 21:39:04,485 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/core/files/storage/__init__.py first seen with mtime 1758312765.8547142
DEBUG 2025-09-21 21:39:04,492 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/template/backends/base.py first seen with mtime 1758312775.9534607
DEBUG 2025-09-21 21:39:04,495 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/sqlparse/sql.py first seen with mtime 1758312619.209543
DEBUG 2025-09-21 21:39:04,497 autoreload File /usr/lib/python3.10/sre_constants.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,500 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/uritemplate/orderedset.py first seen with mtime 1758315260.1906252
DEBUG 2025-09-21 21:39:04,505 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/rest_framework/settings.py first seen with mtime 1758312897.044576
DEBUG 2025-09-21 21:39:04,511 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1758312682.3294024
DEBUG 2025-09-21 21:39:04,516 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/db/utils.py first seen with mtime 1758312767.5546248
DEBUG 2025-09-21 21:39:04,517 autoreload File /usr/lib/python3.10/weakref.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,519 autoreload File /usr/lib/python3.10/importlib/metadata/_meta.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,523 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/drf_yasg/renderers.py first seen with mtime 1758315266.8152995
DEBUG 2025-09-21 21:39:04,526 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/sqlparse/utils.py first seen with mtime 1758312619.2515967
DEBUG 2025-09-21 21:39:04,530 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/urllib3/util/response.py first seen with mtime 1758480569.3149683
DEBUG 2025-09-21 21:39:04,533 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/yaml/constructor.py first seen with mtime 1758315261.8122685
DEBUG 2025-09-21 21:39:04,539 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/rest_framework/utils/mediatypes.py first seen with mtime 1758312905.507926
DEBUG 2025-09-21 21:39:04,540 autoreload File /usr/lib/python3.10/email/header.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,545 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/contrib/auth/views.py first seen with mtime 1758312673.2995977
DEBUG 2025-09-21 21:39:04,549 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/template/base.py first seen with mtime 1758312775.5130632
DEBUG 2025-09-21 21:39:04,551 autoreload File /usr/lib/python3.10/sqlite3/__init__.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,557 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/contrib/postgres/validators.py first seen with mtime 1758312725.2437127
DEBUG 2025-09-21 21:39:04,560 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/inflection/__init__.py first seen with mtime 1758315266.1694338
DEBUG 2025-09-21 21:39:04,564 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/contrib/auth/tokens.py first seen with mtime 1758312673.2149734
DEBUG 2025-09-21 21:39:04,566 autoreload File /usr/lib/python3.10/email/feedparser.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,572 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/template/loaders/base.py first seen with mtime 1758312776.2026472
DEBUG 2025-09-21 21:39:04,577 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/core/management/commands/runserver.py first seen with mtime 1758312766.9094393
DEBUG 2025-09-21 21:39:04,582 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/contrib/admin/utils.py first seen with mtime 1758312638.1529524
DEBUG 2025-09-21 21:39:04,583 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/yaml/_yaml.cpython-310-x86_64-linux-gnu.so first seen with mtime 1758315261.5007217
DEBUG 2025-09-21 21:39:04,585 autoreload File /usr/lib/python3.10/email/mime/text.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,587 autoreload File /usr/lib/python3.10/collections/__init__.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,590 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/yaml/nodes.py first seen with mtime 1758315261.3764937
DEBUG 2025-09-21 21:39:04,594 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/template/backends/django.py first seen with mtime 1758312775.991514
DEBUG 2025-09-21 21:39:04,597 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/movies/serializers.py first seen with mtime 1758321491.5205684
DEBUG 2025-09-21 21:39:04,603 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/core/checks/registry.py first seen with mtime 1758312765.283174
DEBUG 2025-09-21 21:39:04,607 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/forms/fields.py first seen with mtime 1758312771.1601703
DEBUG 2025-09-21 21:39:04,610 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/urllib3/http2/__init__.py first seen with mtime 1758480569.178819
DEBUG 2025-09-21 21:39:04,617 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/django/contrib/admin/views/main.py first seen with mtime 1758312662.942047
DEBUG 2025-09-21 21:39:04,619 autoreload File /usr/lib/python3.10/email/errors.py first seen with mtime 1755268363.0
DEBUG 2025-09-21 21:39:04,622 autoreload File /mnt/c/Users/cv/OneDrive/Desktop/my projects/movie_recommendation/venv/lib/python3.10/site-packages/corsheaders/apps.py first seen with mtime 1758315036.9048421
